ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	34.60	22.60
2	0	0	0.6	0.6	1.20	1.20	34.60	22.60
3	0	0	0.6	0.6	1.80	1.80	34.60	22.60
4	0	0	0.6	0.6	2.40	2.40	34.60	22.60
5	0	0	0.6	0.6	3.00	3.00	34.60	22.60
6	0	0	0.6	0.6	3.60	3.60	34.60	22.60
7	0	0	0.6	0.6	4.20	4.20	34.60	22.60
8	0	0	0.6	0.6	4.80	4.80	34.60	22.60
9	0	0	0.6	0.6	5.40	5.40	34.60	22.60
10	0	0	0.6	0.6	6.00	6.00	34.60	22.60
11	0	0	0.6	0.6	6.60	6.60	34.60	22.60
12	1	0	1	0	7.60	6.60	34.60	22.60
13	0	0	0.6	0.6	8.20	7.20	34.60	22.60
14	0	0	0.6	0.6	8.80	7.80	34.60	22.60
15	0	0	0.6	0.6	9.40	8.40	34.60	22.60
16	0	0	0.6	0.6	10.00	9.00	34.60	22.60
17	0	0	0.6	0.6	10.60	9.60	34.60	22.60
18	0	0	0.6	0.6	11.20	10.20	34.60	22.60
19	0	0	0.6	0.6	11.80	10.80	34.60	22.60
20	0	0	0.6	0.6	12.40	11.40	34.60	22.60
21	0	0	0.6	0.6	13.00	12.00	34.60	22.60
22	0	0	0.6	0.6	13.60	12.60	34.60	22.60
23	0	0	0.6	0.6	14.20	13.20	34.60	22.60
24	0	1	0	1	14.20	14.20	34.60	22.60
25	0	0	0.6	0.6	14.80	14.80	34.60	22.60
26	0	0	0.6	0.6	15.40	15.40	34.60	22.60
27	0	0	0.6	0.6	16.00	16.00	34.60	22.60
28	0	0	0.6	0.6	16.60	16.60	34.60	22.60
29	0	0	0.6	0.6	17.20	17.20	34.60	22.60
30	0	0	0.6	0.6	17.80	17.80	34.60	22.60
31	0	0	0.6	0.6	18.40	18.40	34.60	22.60
32	0	0	0.6	0.6	19.00	19.00	34.60	22.60
33	1	0	1	0	20.00	19.00	34.60	22.60
34	0	0	0.6	0.6	20.60	19.60	34.60	22.60
35	0	0	0.6	0.6	21.20	20.20	34.60	22.60
36	0	0	0.6	0.6	21.80	20.80	34.60	22.60
37	0	0	0.6	0.6	22.40	21.40	34.60	22.60
38	0	0	0.6	0.6	23.00	22.00	34.60	22.60
39	0	0	0.6	0.6	23.60	22.60	34.60	22.60
40	1	0	1	0	24.60	22.60	34.60	22.60
41	1	0	1	0	25.60	22.60	34.60	22.60
42	1	0	1	0	26.60	22.60	34.60	22.60
43	1	0	1	0	27.60	22.60	34.60	22.60
44	1	0	1	0	28.60	22.60	34.60	22.60
45	1	0	1	0	29.60	22.60	34.60	22.60
46	1	0	1	0	30.60	22.60	34.60	22.60
47	1	0	1	0	31.60	22.60	34.60	22.60
48	1	0	1	0	32.60	22.60	34.60	22.60
49	1	0	1	0	33.60	22.60	34.60	22.60
50	1	0	1	0	34.60	22.60	34.60	22.60
