ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	23.80	19.80
2	1	1	0.2	0.2	1.20	0.20	23.80	19.80
3	1	1	0.2	0.2	1.40	0.40	23.80	19.80
4	0	1	0	1	1.40	1.40	23.80	19.80
5	1	1	0.2	0.2	1.60	1.60	23.80	19.80
6	1	0	1	0	2.60	1.60	23.80	19.80
7	1	0	1	0	3.60	1.60	23.80	19.80
8	1	1	0.2	0.2	3.80	1.80	23.80	19.80
9	1	1	0.2	0.2	4.00	2.00	23.80	19.80
10	1	1	0.2	0.2	4.20	2.20	23.80	19.80
11	1	1	0.2	0.2	4.40	2.40	23.80	19.80
12	1	1	0.2	0.2	4.60	2.60	23.80	19.80
13	0	1	0	1	4.60	3.60	23.80	19.80
14	1	1	0.2	0.2	4.80	3.80	23.80	19.80
15	0	0	0.6	0.6	5.40	4.40	23.80	19.80
16	0	1	0	1	5.40	5.40	23.80	19.80
17	1	0	1	0	6.40	5.40	23.80	19.80
18	0	1	0	1	6.40	6.40	23.80	19.80
19	1	0	1	0	7.40	6.40	23.80	19.80
20	0	1	0	1	7.40	7.40	23.80	19.80
21	1	0	1	0	8.40	7.40	23.80	19.80
22	1	0	1	0	9.40	7.40	23.80	19.80
23	1	1	0.2	0.2	9.60	7.60	23.80	19.80
24	1	0	1	0	10.60	7.60	23.80	19.80
25	1	1	0.2	0.2	10.80	7.80	23.80	19.80
26	1	1	0.2	0.2	11.00	8.00	23.80	19.80
27	1	0	1	0	12.00	8.00	23.80	19.80
28	1	1	0.2	0.2	12.20	8.20	23.80	19.80
29	0	0	0.6	0.6	12.80	8.80	23.80	19.80
30	1	0	1	0	13.80	8.80	23.80	19.80
31	0	1	0	1	13.80	9.80	23.80	19.80
32	1	0	1	0	14.80	9.80	23.80	19.80
33	0	1	0	1	14.80	10.80	23.80	19.80
34	1	0	1	0	15.80	10.80	23.80	19.80
35	0	1	0	1	15.80	11.80	23.80	19.80
36	1	0	1	0	16.80	11.80	23.80	19.80
37	0	1	0	1	16.80	12.80	23.80	19.80
38	0	0	0.6	0.6	17.40	13.40	23.80	19.80
39	1	0	1	0	18.40	13.40	23.80	19.80
40	0	1	0	1	18.40	14.40	23.80	19.80
41	0	0	0.6	0.6	19.00	15.00	23.80	19.80
42	1	0	1	0	20.00	15.00	23.80	19.80
43	0	1	0	1	20.00	16.00	23.80	19.80
44	0	0	0.6	0.6	20.60	16.60	23.80	19.80
45	1	0	1	0	21.60	16.60	23.80	19.80
46	0	1	0	1	21.60	17.60	23.80	19.80
47	0	0	0.6	0.6	22.20	18.20	23.80	19.80
48	1	0	1	0	23.20	18.20	23.80	19.80
49	0	1	0	1	23.20	19.20	23.80	19.80
50	0	0	0.6	0.6	23.80	19.80	23.80	19.80
