ROUND_NO1	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	25.20	25.20
2	0	0	0.6	0.6	0.80	0.80	25.20	25.20
3	0	0	0.6	0.6	1.40	1.40	25.20	25.20
4	0	0	0.6	0.6	2.00	2.00	25.20	25.20
5	0	0	0.6	0.6	2.60	2.60	25.20	25.20
6	0	0	0.6	0.6	3.20	3.20	25.20	25.20
7	1	0	1	0	4.20	3.20	25.20	25.20
8	0	1	0	1	4.20	4.20	25.20	25.20
9	1	0	1	0	5.20	4.20	25.20	25.20
10	0	1	0	1	5.20	5.20	25.20	25.20
11	1	0	1	0	6.20	5.20	25.20	25.20
12	0	1	0	1	6.20	6.20	25.20	25.20
13	1	0	1	0	7.20	6.20	25.20	25.20
14	0	1	0	1	7.20	7.20	25.20	25.20
15	1	0	1	0	8.20	7.20	25.20	25.20
16	0	1	0	1	8.20	8.20	25.20	25.20
17	1	0	1	0	9.20	8.20	25.20	25.20
18	0	1	0	1	9.20	9.20	25.20	25.20
19	1	0	1	0	10.20	9.20	25.20	25.20
20	0	1	0	1	10.20	10.20	25.20	25.20
21	1	0	1	0	11.20	10.20	25.20	25.20
22	0	1	0	1	11.20	11.20	25.20	25.20
23	1	0	1	0	12.20	11.20	25.20	25.20
24	0	1	0	1	12.20	12.20	25.20	25.20
25	1	0	1	0	13.20	12.20	25.20	25.20
26	0	1	0	1	13.20	13.20	25.20	25.20
27	1	0	1	0	14.20	13.20	25.20	25.20
28	0	1	0	1	14.20	14.20	25.20	25.20
29	1	0	1	0	15.20	14.20	25.20	25.20
30	0	1	0	1	15.20	15.20	25.20	25.20
31	1	0	1	0	16.20	15.20	25.20	25.20
32	0	1	0	1	16.20	16.20	25.20	25.20
33	1	0	1	0	17.20	16.20	25.20	25.20
34	0	1	0	1	17.20	17.20	25.20	25.20
35	1	0	1	0	18.20	17.20	25.20	25.20
36	0	1	0	1	18.20	18.20	25.20	25.20
37	1	0	1	0	19.20	18.20	25.20	25.20
38	0	1	0	1	19.20	19.20	25.20	25.20
39	1	0	1	0	20.20	19.20	25.20	25.20
40	0	1	0	1	20.20	20.20	25.20	25.20
41	1	0	1	0	21.20	20.20	25.20	25.20
42	0	1	0	1	21.20	21.20	25.20	25.20
43	1	0	1	0	22.20	21.20	25.20	25.20
44	0	1	0	1	22.20	22.20	25.20	25.20
45	1	0	1	0	23.20	22.20	25.20	25.20
46	0	1	0	1	23.20	23.20	25.20	25.20
47	1	0	1	0	24.20	23.20	25.20	25.20
48	0	1	0	1	24.20	24.20	25.20	25.20
49	1	0	1	0	25.20	24.20	25.20	25.20
50	0	1	0	1	25.20	25.20	25.20	25.20
ROUND_NO2	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	24.80	24.80
2	1	1	0.2	0.2	0.80	0.80	24.80	24.80
3	1	0	1	0	1.80	0.80	24.80	24.80
