ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	24.40	27.40
2	0	0	0.6	0.6	0.80	0.80	24.40	27.40
3	0	1	0	1	0.80	1.80	24.40	27.40
4	0	0	0.6	0.6	1.40	2.40	24.40	27.40
5	0	0	0.6	0.6	2.00	3.00	24.40	27.40
6	1	0	1	0	3.00	3.00	24.40	27.40
7	0	0	0.6	0.6	3.60	3.60	24.40	27.40
8	0	0	0.6	0.6	4.20	4.20	24.40	27.40
9	0	0	0.6	0.6	4.80	4.80	24.40	27.40
10	0	0	0.6	0.6	5.40	5.40	24.40	27.40
11	0	0	0.6	0.6	6.00	6.00	24.40	27.40
12	0	0	0.6	0.6	6.60	6.60	24.40	27.40
13	0	0	0.6	0.6	7.20	7.20	24.40	27.40
14	0	1	0	1	7.20	8.20	24.40	27.40
15	1	0	1	0	8.20	8.20	24.40	27.40
16	0	1	0	1	8.20	9.20	24.40	27.40
17	1	0	1	0	9.20	9.20	24.40	27.40
18	0	1	0	1	9.20	10.20	24.40	27.40
19	1	0	1	0	10.20	10.20	24.40	27.40
20	0	1	0	1	10.20	11.20	24.40	27.40
21	1	0	1	0	11.20	11.20	24.40	27.40
22	0	1	0	1	11.20	12.20	24.40	27.40
23	1	0	1	0	12.20	12.20	24.40	27.40
24	0	1	0	1	12.20	13.20	24.40	27.40
25	1	0	1	0	13.20	13.20	24.40	27.40
26	0	1	0	1	13.20	14.20	24.40	27.40
27	1	0	1	0	14.20	14.20	24.40	27.40
28	0	1	0	1	14.20	15.20	24.40	27.40
29	1	0	1	0	15.20	15.20	24.40	27.40
30	0	1	0	1	15.20	16.20	24.40	27.40
31	1	0	1	0	16.20	16.20	24.40	27.40
32	0	1	0	1	16.20	17.20	24.40	27.40
33	1	0	1	0	17.20	17.20	24.40	27.40
34	0	1	0	1	17.20	18.20	24.40	27.40
35	1	0	1	0	18.20	18.20	24.40	27.40
36	0	1	0	1	18.20	19.20	24.40	27.40
37	1	0	1	0	19.20	19.20	24.40	27.40
38	0	1	0	1	19.20	20.20	24.40	27.40
39	0	0	0.6	0.6	19.80	20.80	24.40	27.40
40	0	1	0	1	19.80	21.80	24.40	27.40
41	1	0	1	0	20.80	21.80	24.40	27.40
42	0	1	0	1	20.80	22.80	24.40	27.40
43	1	0	1	0	21.80	22.80	24.40	27.40
44	0	1	0	1	21.80	23.80	24.40	27.40
45	1	0	1	0	22.80	23.80	24.40	27.40
46	0	1	0	1	22.80	24.80	24.40	27.40
47	1	0	1	0	23.80	24.80	24.40	27.40
48	0	1	0	1	23.80	25.80	24.40	27.40
49	0	0	0.6	0.6	24.40	26.40	24.40	27.40
50	0	1	0	1	24.40	27.40	24.40	27.40
