ROUND_NO1	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	29.60	28.60
2	1	1	0.2	0.2	1.20	0.20	29.60	28.60
3	1	1	0.2	0.2	1.40	0.40	29.60	28.60
4	0	0	0.6	0.6	2.00	1.00	29.60	28.60
5	0	0	0.6	0.6	2.60	1.60	29.60	28.60
6	0	0	0.6	0.6	3.20	2.20	29.60	28.60
7	0	0	0.6	0.6	3.80	2.80	29.60	28.60
8	0	0	0.6	0.6	4.40	3.40	29.60	28.60
9	0	0	0.6	0.6	5.00	4.00	29.60	28.60
10	0	0	0.6	0.6	5.60	4.60	29.60	28.60
11	0	0	0.6	0.6	6.20	5.20	29.60	28.60
12	0	0	0.6	0.6	6.80	5.80	29.60	28.60
13	0	0	0.6	0.6	7.40	6.40	29.60	28.60
14	0	0	0.6	0.6	8.00	7.00	29.60	28.60
15	0	0	0.6	0.6	8.60	7.60	29.60	28.60
16	0	0	0.6	0.6	9.20	8.20	29.60	28.60
17	0	0	0.6	0.6	9.80	8.80	29.60	28.60
18	0	0	0.6	0.6	10.40	9.40	29.60	28.60
19	0	0	0.6	0.6	11.00	10.00	29.60	28.60
20	0	0	0.6	0.6	11.60	10.60	29.60	28.60
21	0	0	0.6	0.6	12.20	11.20	29.60	28.60
22	0	0	0.6	0.6	12.80	11.80	29.60	28.60
23	0	0	0.6	0.6	13.40	12.40	29.60	28.60
24	0	0	0.6	0.6	14.00	13.00	29.60	28.60
25	0	0	0.6	0.6	14.60	13.60	29.60	28.60
26	0	0	0.6	0.6	15.20	14.20	29.60	28.60
27	0	0	0.6	0.6	15.80	14.80	29.60	28.60
28	0	0	0.6	0.6	16.40	15.40	29.60	28.60
29	0	0	0.6	0.6	17.00	16.00	29.60	28.60
30	0	0	0.6	0.6	17.60	16.60	29.60	28.60
31	0	0	0.6	0.6	18.20	17.20	29.60	28.60
32	0	0	0.6	0.6	18.80	17.80	29.60	28.60
33	0	0	0.6	0.6	19.40	18.40	29.60	28.60
34	0	0	0.6	0.6	20.00	19.00	29.60	28.60
35	0	0	0.6	0.6	20.60	19.60	29.60	28.60
36	0	0	0.6	0.6	21.20	20.20	29.60	28.60
37	0	0	0.6	0.6	21.80	20.80	29.60	28.60
38	0	0	0.6	0.6	22.40	21.40	29.60	28.60
39	0	0	0.6	0.6	23.00	22.00	29.60	28.60
40	0	0	0.6	0.6	23.60	22.60	29.60	28.60
41	0	0	0.6	0.6	24.20	23.20	29.60	28.60
42	0	0	0.6	0.6	24.80	23.80	29.60	28.60
43	0	0	0.6	0.6	25.40	24.40	29.60	28.60
44	0	0	0.6	0.6	26.00	25.00	29.60	28.60
45	0	0	0.6	0.6	26.60	25.60	29.60	28.60
46	0	0	0.6	0.6	27.20	26.20	29.60	28.60
47	0	0	0.6	0.6	27.80	26.80	29.60	28.60
48	0	0	0.6	0.6	28.40	27.40	29.60	28.60
49	0	0	0.6	0.6	29.00	28.00	29.60	28.60
50	0	0	0.6	0.6	29.60	28.60	29.60	28.60
ROUND_NO2	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	17.60	22.60
2	1	0	1	0	1.20	0.20	17.60	22.60
3	1	0	1	0	2.20	0.20	17.60	22.60
4	1	1	0.2	0.2	2.40	0.40	17.60	22.60
5	1	0	1	0	3.40	0.40	17.60	22.60
6	0	1	0	1	3.40	1.40	17.60	22.60
7	1	1	0.2	0.2	3.60	1.60	17.60	22.60
8	0	1	0	1	3.60	2.60	17.60	22.60
9	1	1	0.2	0.2	3.80	2.80	17.60	22.60
10	1	1	0.2	0.2	4.00	3.00	17.60	22.60
11	0	1	0	1	4.00	4.00	17.60	22.60
12	1	1	0.2	0.2	4.20	4.20	17.60	22.60
13	1	1	0.2	0.2	4.40	4.40	17.60	22.60
14	0	1	0	1	4.40	5.40	17.60	22.60
15	1	1	0.2	0.2	4.60	5.60	17.60	22.60
16	0	1	0	1	4.60	6.60	17.60	22.60
17	1	1	0.2	0.2	4.80	6.80	17.60	22.60
18	0	1	0	1	4.80	7.80	17.60	22.60
19	1	1	0.2	0.2	5.00	8.00	17.60	22.60
20	0	1	0	1	5.00	9.00	17.60	22.60
21	1	1	0.2	0.2	5.20	9.20	17.60	22.60
22	0	1	0	1	5.20	10.20	17.60	22.60
23	1	0	1	0	6.20	10.20	17.60	22.60
24	0	0	0.6	0.6	6.80	10.80	17.60	22.60
25	0	1	0	1	6.80	11.80	17.60	22.60
26	1	0	1	0	7.80	11.80	17.60	22.60
27	0	0	0.6	0.6	8.40	12.40	17.60	22.60
28	1	0	1	0	9.40	12.40	17.60	22.60
29	1	1	0.2	0.2	9.60	12.60	17.60	22.60
30	1	1	0.2	0.2	9.80	12.80	17.60	22.60
31	0	1	0	1	9.80	13.80	17.60	22.60
32	1	1	0.2	0.2	10.00	14.00	17.60	22.60
33	0	1	0	1	10.00	15.00	17.60	22.60
34	1	1	0.2	0.2	10.20	15.20	17.60	22.60
35	0	1	0	1	10.20	16.20	17.60	22.60
36	1	1	0.2	0.2	10.40	16.40	17.60	22.60
37	1	1	0.2	0.2	10.60	16.60	17.60	22.60
38	1	0	1	0	11.60	16.60	17.60	22.60
39	0	1	0	1	11.60	17.60	17.60	22.60
40	1	0	1	0	12.60	17.60	17.60	22.60
41	0	1	0	1	12.60	18.60	17.60	22.60
42	1	0	1	0	13.60	18.60	17.60	22.60
43	0	1	0	1	13.60	19.60	17.60	22.60
44	1	0	1	0	14.60	19.60	17.60	22.60
45	0	1	0	1	14.60	20.60	17.60	22.60
46	1	0	1	0	15.60	20.60	17.60	22.60
47	0	1	0	1	15.60	21.60	17.60	22.60
48	1	0	1	0	16.60	21.60	17.60	22.60
49	0	1	0	1	16.60	22.60	17.60	22.60
50	1	0	1	0	17.60	22.60	17.60	22.60
ROUND_NO3	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	19.60	22.60
2	0	1	0	1	0.60	1.60	19.60	22.60
3	1	1	0.2	0.2	0.80	1.80	19.60	22.60
4	0	1	0	1	0.80	2.80	19.60	22.60
5	1	1	0.2	0.2	1.00	3.00	19.60	22.60
6	1	1	0.2	0.2	1.20	3.20	19.60	22.60
7	1	1	0.2	0.2	1.40	3.40	19.60	22.60
8	1	0	1	0	2.40	3.40	19.60	22.60
9	1	1	0.2	0.2	2.60	3.60	19.60	22.60
10	0	1	0	1	2.60	4.60	19.60	22.60
11	0	1	0	1	2.60	5.60	19.60	22.60
12	1	1	0.2	0.2	2.80	5.80	19.60	22.60
13	0	1	0	1	2.80	6.80	19.60	22.60
14	1	1	0.2	0.2	3.00	7.00	19.60	22.60
15	1	1	0.2	0.2	3.20	7.20	19.60	22.60
16	1	1	0.2	0.2	3.40	7.40	19.60	22.60
17	1	0	1	0	4.40	7.40	19.60	22.60
18	1	1	0.2	0.2	4.60	7.60	19.60	22.60
19	1	1	0.2	0.2	4.80	7.80	19.60	22.60
20	1	1	0.2	0.2	5.00	8.00	19.60	22.60
21	1	1	0.2	0.2	5.20	8.20	19.60	22.60
22	1	0	1	0	6.20	8.20	19.60	22.60
23	0	1	0	1	6.20	9.20	19.60	22.60
24	1	0	1	0	7.20	9.20	19.60	22.60
25	0	0	0.6	0.6	7.80	9.80	19.60	22.60
26	1	0	1	0	8.80	9.80	19.60	22.60
27	0	1	0	1	8.80	10.80	19.60	22.60
28	1	1	0.2	0.2	9.00	11.00	19.60	22.60
29	1	1	0.2	0.2	9.20	11.20	19.60	22.60
30	0	0	0.6	0.6	9.80	11.80	19.60	22.60
31	0	1	0	1	9.80	12.80	19.60	22.60
32	1	0	1	0	10.80	12.80	19.60	22.60
33	0	1	0	1	10.80	13.80	19.60	22.60
34	1	0	1	0	11.80	13.80	19.60	22.60
35	0	0	0.6	0.6	12.40	14.40	19.60	22.60
36	0	1	0	1	12.40	15.40	19.60	22.60
37	1	0	1	0	13.40	15.40	19.60	22.60
38	0	0	0.6	0.6	14.00	16.00	19.60	22.60
39	0	1	0	1	14.00	17.00	19.60	22.60
40	1	0	1	0	15.00	17.00	19.60	22.60
41	0	1	0	1	15.00	18.00	19.60	22.60
42	1	0	1	0	16.00	18.00	19.60	22.60
43	0	1	0	1	16.00	19.00	19.60	22.60
44	1	0	1	0	17.00	19.00	19.60	22.60
45	0	0	0.6	0.6	17.60	19.60	19.60	22.60
46	0	1	0	1	17.60	20.60	19.60	22.60
47	1	0	1	0	18.60	20.60	19.60	22.60
48	0	1	0	1	18.60	21.60	19.60	22.60
49	1	0	1	0	19.60	21.60	19.60	22.60
50	0	1	0	1	19.60	22.60	19.60	22.60
ROUND_NO4	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	26.60	27.60
2	0	1	0	1	1.00	1.00	26.60	27.60
3	1	1	0.2	0.2	1.20	1.20	26.60	27.60
4	0	1	0	1	1.20	2.20	26.60	27.60
5	1	1	0.2	0.2	1.40	2.40	26.60	27.60
6	1	1	0.2	0.2	1.60	2.60	26.60	27.60
7	0	1	0	1	1.60	3.60	26.60	27.60
8	1	1	0.2	0.2	1.80	3.80	26.60	27.60
9	1	0	1	0	2.80	3.80	26.60	27.60
10	1	1	0.2	0.2	3.00	4.00	26.60	27.60
11	1	1	0.2	0.2	3.20	4.20	26.60	27.60
12	0	0	0.6	0.6	3.80	4.80	26.60	27.60
13	0	0	0.6	0.6	4.40	5.40	26.60	27.60
14	0	0	0.6	0.6	5.00	6.00	26.60	27.60
15	0	0	0.6	0.6	5.60	6.60	26.60	27.60
16	0	0	0.6	0.6	6.20	7.20	26.60	27.60
17	0	0	0.6	0.6	6.80	7.80	26.60	27.60
18	0	0	0.6	0.6	7.40	8.40	26.60	27.60
19	0	0	0.6	0.6	8.00	9.00	26.60	27.60
20	0	0	0.6	0.6	8.60	9.60	26.60	27.60
21	0	0	0.6	0.6	9.20	10.20	26.60	27.60
22	0	0	0.6	0.6	9.80	10.80	26.60	27.60
23	0	0	0.6	0.6	10.40	11.40	26.60	27.60
24	0	0	0.6	0.6	11.00	12.00	26.60	27.60
25	0	0	0.6	0.6	11.60	12.60	26.60	27.60
26	0	0	0.6	0.6	12.20	13.20	26.60	27.60
27	0	0	0.6	0.6	12.80	13.80	26.60	27.60
28	0	0	0.6	0.6	13.40	14.40	26.60	27.60
29	0	0	0.6	0.6	14.00	15.00	26.60	27.60
30	0	0	0.6	0.6	14.60	15.60	26.60	27.60
31	0	0	0.6	0.6	15.20	16.20	26.60	27.60
32	0	0	0.6	0.6	15.80	16.80	26.60	27.60
33	0	0	0.6	0.6	16.40	17.40	26.60	27.60
34	0	0	0.6	0.6	17.00	18.00	26.60	27.60
35	0	0	0.6	0.6	17.60	18.60	26.60	27.60
36	0	0	0.6	0.6	18.20	19.20	26.60	27.60
37	0	0	0.6	0.6	18.80	19.80	26.60	27.60
38	0	0	0.6	0.6	19.40	20.40	26.60	27.60
39	0	0	0.6	0.6	20.00	21.00	26.60	27.60
40	0	0	0.6	0.6	20.60	21.60	26.60	27.60
41	0	0	0.6	0.6	21.20	22.20	26.60	27.60
42	0	0	0.6	0.6	21.80	22.80	26.60	27.60
43	0	0	0.6	0.6	22.40	23.40	26.60	27.60
44	0	0	0.6	0.6	23.00	24.00	26.60	27.60
45	0	0	0.6	0.6	23.60	24.60	26.60	27.60
46	0	0	0.6	0.6	24.20	25.20	26.60	27.60
47	0	0	0.6	0.6	24.80	25.80	26.60	27.60
48	0	0	0.6	0.6	25.40	26.40	26.60	27.60
49	0	0	0.6	0.6	26.00	27.00	26.60	27.60
50	0	0	0.6	0.6	26.60	27.60	26.60	27.60
ROUND_NO5	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	20.80	20.80
2	0	1	0	1	1.00	1.00	20.80	20.80
3	1	0	1	0	2.00	1.00	20.80	20.80
4	0	1	0	1	2.00	2.00	20.80	20.80
5	1	0	1	0	3.00	2.00	20.80	20.80
6	0	0	0.6	0.6	3.60	2.60	20.80	20.80
7	1	0	1	0	4.60	2.60	20.80	20.80
8	0	1	0	1	4.60	3.60	20.80	20.80
9	1	1	0.2	0.2	4.80	3.80	20.80	20.80
10	0	1	0	1	4.80	4.80	20.80	20.80
11	0	1	0	1	4.80	5.80	20.80	20.80
12	1	1	0.2	0.2	5.00	6.00	20.80	20.80
13	1	1	0.2	0.2	5.20	6.20	20.80	20.80
14	0	1	0	1	5.20	7.20	20.80	20.80
15	1	1	0.2	0.2	5.40	7.40	20.80	20.80
16	0	0	0.6	0.6	6.00	8.00	20.80	20.80
17	0	1	0	1	6.00	9.00	20.80	20.80
18	0	0	0.6	0.6	6.60	9.60	20.80	20.80
19	1	1	0.2	0.2	6.80	9.80	20.80	20.80
20	1	0	1	0	7.80	9.80	20.80	20.80
21	1	1	0.2	0.2	8.00	10.00	20.80	20.80
22	1	1	0.2	0.2	8.20	10.20	20.80	20.80
23	1	0	1	0	9.20	10.20	20.80	20.80
24	1	1	0.2	0.2	9.40	10.40	20.80	20.80
25	1	1	0.2	0.2	9.60	10.60	20.80	20.80
26	1	0	1	0	10.60	10.60	20.80	20.80
27	0	1	0	1	10.60	11.60	20.80	20.80
28	1	0	1	0	11.60	11.60	20.80	20.80
29	0	1	0	1	11.60	12.60	20.80	20.80
30	1	0	1	0	12.60	12.60	20.80	20.80
31	0	1	0	1	12.60	13.60	20.80	20.80
32	1	0	1	0	13.60	13.60	20.80	20.80
33	0	1	0	1	13.60	14.60	20.80	20.80
34	1	0	1	0	14.60	14.60	20.80	20.80
35	0	1	0	1	14.60	15.60	20.80	20.80
