ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	18.40	25.40
2	1	0	1	0	1.00	1.00	18.40	25.40
3	1	0	1	0	2.00	1.00	18.40	25.40
4	1	1	0.2	0.2	2.20	1.20	18.40	25.40
5	0	0	0.6	0.6	2.80	1.80	18.40	25.40
6	0	0	0.6	0.6	3.40	2.40	18.40	25.40
7	1	0	1	0	4.40	2.40	18.40	25.40
8	0	1	0	1	4.40	3.40	18.40	25.40
9	0	1	0	1	4.40	4.40	18.40	25.40
10	1	1	0.2	0.2	4.60	4.60	18.40	25.40
11	1	1	0.2	0.2	4.80	4.80	18.40	25.40
12	1	1	0.2	0.2	5.00	5.00	18.40	25.40
13	1	1	0.2	0.2	5.20	5.20	18.40	25.40
14	0	1	0	1	5.20	6.20	18.40	25.40
15	1	1	0.2	0.2	5.40	6.40	18.40	25.40
16	0	1	0	1	5.40	7.40	18.40	25.40
17	0	1	0	1	5.40	8.40	18.40	25.40
18	0	1	0	1	5.40	9.40	18.40	25.40
19	0	1	0	1	5.40	10.40	18.40	25.40
20	0	1	0	1	5.40	11.40	18.40	25.40
21	0	1	0	1	5.40	12.40	18.40	25.40
22	0	1	0	1	5.40	13.40	18.40	25.40
23	1	1	0.2	0.2	5.60	13.60	18.40	25.40
24	1	1	0.2	0.2	5.80	13.80	18.40	25.40
25	1	0	1	0	6.80	13.80	18.40	25.40
26	0	1	0	1	6.80	14.80	18.40	25.40
27	1	0	1	0	7.80	14.80	18.40	25.40
28	0	1	0	1	7.80	15.80	18.40	25.40
29	1	0	1	0	8.80	15.80	18.40	25.40
30	0	1	0	1	8.80	16.80	18.40	25.40
31	1	0	1	0	9.80	16.80	18.40	25.40
32	0	1	0	1	9.80	17.80	18.40	25.40
33	1	0	1	0	10.80	17.80	18.40	25.40
34	0	1	0	1	10.80	18.80	18.40	25.40
35	1	0	1	0	11.80	18.80	18.40	25.40
36	0	1	0	1	11.80	19.80	18.40	25.40
37	1	0	1	0	12.80	19.80	18.40	25.40
38	0	1	0	1	12.80	20.80	18.40	25.40
39	1	0	1	0	13.80	20.80	18.40	25.40
40	0	1	0	1	13.80	21.80	18.40	25.40
41	1	0	1	0	14.80	21.80	18.40	25.40
42	0	1	0	1	14.80	22.80	18.40	25.40
43	1	0	1	0	15.80	22.80	18.40	25.40
44	0	1	0	1	15.80	23.80	18.40	25.40
45	1	0	1	0	16.80	23.80	18.40	25.40
46	0	1	0	1	16.80	24.80	18.40	25.40
47	1	1	0.2	0.2	17.00	25.00	18.40	25.40
48	1	1	0.2	0.2	17.20	25.20	18.40	25.40
49	1	0	1	0	18.20	25.20	18.40	25.40
50	1	1	0.2	0.2	18.40	25.40	18.40	25.40
