ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	26.60	24.60
2	0	1	0	1	1.00	1.00	26.60	24.60
3	1	0	1	0	2.00	1.00	26.60	24.60
4	0	1	0	1	2.00	2.00	26.60	24.60
5	1	0	1	0	3.00	2.00	26.60	24.60
6	0	1	0	1	3.00	3.00	26.60	24.60
7	0	0	0.6	0.6	3.60	3.60	26.60	24.60
8	1	1	0.2	0.2	3.80	3.80	26.60	24.60
9	1	1	0.2	0.2	4.00	4.00	26.60	24.60
10	0	0	0.6	0.6	4.60	4.60	26.60	24.60
11	0	0	0.6	0.6	5.20	5.20	26.60	24.60
12	0	0	0.6	0.6	5.80	5.80	26.60	24.60
13	0	0	0.6	0.6	6.40	6.40	26.60	24.60
14	0	0	0.6	0.6	7.00	7.00	26.60	24.60
15	0	0	0.6	0.6	7.60	7.60	26.60	24.60
16	0	0	0.6	0.6	8.20	8.20	26.60	24.60
17	0	0	0.6	0.6	8.80	8.80	26.60	24.60
18	0	1	0	1	8.80	9.80	26.60	24.60
19	1	0	1	0	9.80	9.80	26.60	24.60
20	0	1	0	1	9.80	10.80	26.60	24.60
21	1	0	1	0	10.80	10.80	26.60	24.60
22	0	0	0.6	0.6	11.40	11.40	26.60	24.60
23	0	1	0	1	11.40	12.40	26.60	24.60
24	1	0	1	0	12.40	12.40	26.60	24.60
25	0	0	0.6	0.6	13.00	13.00	26.60	24.60
26	0	1	0	1	13.00	14.00	26.60	24.60
27	1	0	1	0	14.00	14.00	26.60	24.60
28	0	0	0.6	0.6	14.60	14.60	26.60	24.60
29	1	1	0.2	0.2	14.80	14.80	26.60	24.60
30	1	0	1	0	15.80	14.80	26.60	24.60
31	1	1	0.2	0.2	16.00	15.00	26.60	24.60
32	1	1	0.2	0.2	16.20	15.20	26.60	24.60
33	1	0	1	0	17.20	15.20	26.60	24.60
34	1	1	0.2	0.2	17.40	15.40	26.60	24.60
35	1	1	0.2	0.2	17.60	15.60	26.60	24.60
36	0	0	0.6	0.6	18.20	16.20	26.60	24.60
37	0	0	0.6	0.6	18.80	16.80	26.60	24.60
38	0	0	0.6	0.6	19.40	17.40	26.60	24.60
39	0	0	0.6	0.6	20.00	18.00	26.60	24.60
40	0	0	0.6	0.6	20.60	18.60	26.60	24.60
41	0	0	0.6	0.6	21.20	19.20	26.60	24.60
42	0	0	0.6	0.6	21.80	19.80	26.60	24.60
43	0	0	0.6	0.6	22.40	20.40	26.60	24.60
44	0	0	0.6	0.6	23.00	21.00	26.60	24.60
45	0	0	0.6	0.6	23.60	21.60	26.60	24.60
46	0	0	0.6	0.6	24.20	22.20	26.60	24.60
47	0	0	0.6	0.6	24.80	22.80	26.60	24.60
48	0	0	0.6	0.6	25.40	23.40	26.60	24.60
49	0	0	0.6	0.6	26.00	24.00	26.60	24.60
50	0	0	0.6	0.6	26.60	24.60	26.60	24.60
