ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	18.40	18.40
2	0	0	0.6	0.6	0.60	1.60	18.40	18.40
3	0	0	0.6	0.6	1.20	2.20	18.40	18.40
4	1	0	1	0	2.20	2.20	18.40	18.40
5	1	0	1	0	3.20	2.20	18.40	18.40
6	0	0	0.6	0.6	3.80	2.80	18.40	18.40
7	1	0	1	0	4.80	2.80	18.40	18.40
8	0	1	0	1	4.80	3.80	18.40	18.40
9	0	1	0	1	4.80	4.80	18.40	18.40
10	0	0	0.6	0.6	5.40	5.40	18.40	18.40
11	1	1	0.2	0.2	5.60	5.60	18.40	18.40
12	1	1	0.2	0.2	5.80	5.80	18.40	18.40
13	0	0	0.6	0.6	6.40	6.40	18.40	18.40
14	1	1	0.2	0.2	6.60	6.60	18.40	18.40
15	1	1	0.2	0.2	6.80	6.80	18.40	18.40
16	0	0	0.6	0.6	7.40	7.40	18.40	18.40
17	1	1	0.2	0.2	7.60	7.60	18.40	18.40
18	1	1	0.2	0.2	7.80	7.80	18.40	18.40
19	0	0	0.6	0.6	8.40	8.40	18.40	18.40
20	1	1	0.2	0.2	8.60	8.60	18.40	18.40
21	1	1	0.2	0.2	8.80	8.80	18.40	18.40
22	0	0	0.6	0.6	9.40	9.40	18.40	18.40
23	1	1	0.2	0.2	9.60	9.60	18.40	18.40
24	1	1	0.2	0.2	9.80	9.80	18.40	18.40
25	0	0	0.6	0.6	10.40	10.40	18.40	18.40
26	1	0	1	0	11.40	10.40	18.40	18.40
27	0	0	0.6	0.6	12.00	11.00	18.40	18.40
28	1	1	0.2	0.2	12.20	11.20	18.40	18.40
29	1	1	0.2	0.2	12.40	11.40	18.40	18.40
30	0	1	0	1	12.40	12.40	18.40	18.40
31	0	0	0.6	0.6	13.00	13.00	18.40	18.40
32	1	1	0.2	0.2	13.20	13.20	18.40	18.40
33	1	1	0.2	0.2	13.40	13.40	18.40	18.40
34	0	0	0.6	0.6	14.00	14.00	18.40	18.40
35	1	1	0.2	0.2	14.20	14.20	18.40	18.40
36	1	1	0.2	0.2	14.40	14.40	18.40	18.40
37	0	0	0.6	0.6	15.00	15.00	18.40	18.40
38	1	1	0.2	0.2	15.20	15.20	18.40	18.40
39	1	1	0.2	0.2	15.40	15.40	18.40	18.40
40	0	0	0.6	0.6	16.00	16.00	18.40	18.40
41	1	1	0.2	0.2	16.20	16.20	18.40	18.40
42	1	1	0.2	0.2	16.40	16.40	18.40	18.40
43	0	0	0.6	0.6	17.00	17.00	18.40	18.40
44	1	1	0.2	0.2	17.20	17.20	18.40	18.40
45	1	1	0.2	0.2	17.40	17.40	18.40	18.40
46	1	1	0.2	0.2	17.60	17.60	18.40	18.40
47	1	1	0.2	0.2	17.80	17.80	18.40	18.40
48	1	1	0.2	0.2	18.00	18.00	18.40	18.40
49	1	1	0.2	0.2	18.20	18.20	18.40	18.40
50	1	1	0.2	0.2	18.40	18.40	18.40	18.40
