ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	20.00	18.00
2	0	0	0.6	0.6	0.60	1.60	20.00	18.00
3	0	1	0	1	0.60	2.60	20.00	18.00
4	1	0	1	0	1.60	2.60	20.00	18.00
5	0	0	0.6	0.6	2.20	3.20	20.00	18.00
6	1	1	0.2	0.2	2.40	3.40	20.00	18.00
7	1	1	0.2	0.2	2.60	3.60	20.00	18.00
8	0	0	0.6	0.6	3.20	4.20	20.00	18.00
9	1	1	0.2	0.2	3.40	4.40	20.00	18.00
10	1	1	0.2	0.2	3.60	4.60	20.00	18.00
11	0	0	0.6	0.6	4.20	5.20	20.00	18.00
12	1	1	0.2	0.2	4.40	5.40	20.00	18.00
13	1	1	0.2	0.2	4.60	5.60	20.00	18.00
14	0	0	0.6	0.6	5.20	6.20	20.00	18.00
15	1	1	0.2	0.2	5.40	6.40	20.00	18.00
16	1	1	0.2	0.2	5.60	6.60	20.00	18.00
17	0	0	0.6	0.6	6.20	7.20	20.00	18.00
18	0	1	0	1	6.20	8.20	20.00	18.00
19	1	0	1	0	7.20	8.20	20.00	18.00
20	1	0	1	0	8.20	8.20	20.00	18.00
21	0	0	0.6	0.6	8.80	8.80	20.00	18.00
22	1	1	0.2	0.2	9.00	9.00	20.00	18.00
23	1	1	0.2	0.2	9.20	9.20	20.00	18.00
24	0	0	0.6	0.6	9.80	9.80	20.00	18.00
25	1	1	0.2	0.2	10.00	10.00	20.00	18.00
26	0	0	0.6	0.6	10.60	10.60	20.00	18.00
27	1	1	0.2	0.2	10.80	10.80	20.00	18.00
28	1	1	0.2	0.2	11.00	11.00	20.00	18.00
29	0	0	0.6	0.6	11.60	11.60	20.00	18.00
30	1	1	0.2	0.2	11.80	11.80	20.00	18.00
31	1	1	0.2	0.2	12.00	12.00	20.00	18.00
32	0	0	0.6	0.6	12.60	12.60	20.00	18.00
33	1	1	0.2	0.2	12.80	12.80	20.00	18.00
34	1	1	0.2	0.2	13.00	13.00	20.00	18.00
35	0	0	0.6	0.6	13.60	13.60	20.00	18.00
36	1	1	0.2	0.2	13.80	13.80	20.00	18.00
37	1	1	0.2	0.2	14.00	14.00	20.00	18.00
38	0	0	0.6	0.6	14.60	14.60	20.00	18.00
39	1	1	0.2	0.2	14.80	14.80	20.00	18.00
40	1	1	0.2	0.2	15.00	15.00	20.00	18.00
41	0	0	0.6	0.6	15.60	15.60	20.00	18.00
42	1	1	0.2	0.2	15.80	15.80	20.00	18.00
43	1	1	0.2	0.2	16.00	16.00	20.00	18.00
44	0	1	0	1	16.00	17.00	20.00	18.00
45	0	0	0.6	0.6	16.60	17.60	20.00	18.00
46	1	1	0.2	0.2	16.80	17.80	20.00	18.00
47	1	1	0.2	0.2	17.00	18.00	20.00	18.00
48	1	0	1	0	18.00	18.00	20.00	18.00
49	1	0	1	0	19.00	18.00	20.00	18.00
50	1	0	1	0	20.00	18.00	20.00	18.00
