ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	25.80	15.80
2	0	0	0.6	0.6	0.80	0.80	25.80	15.80
3	1	1	0.2	0.2	1.00	1.00	25.80	15.80
4	1	1	0.2	0.2	1.20	1.20	25.80	15.80
5	0	0	0.6	0.6	1.80	1.80	25.80	15.80
6	1	1	0.2	0.2	2.00	2.00	25.80	15.80
7	1	1	0.2	0.2	2.20	2.20	25.80	15.80
8	0	0	0.6	0.6	2.80	2.80	25.80	15.80
9	1	1	0.2	0.2	3.00	3.00	25.80	15.80
10	1	1	0.2	0.2	3.20	3.20	25.80	15.80
11	0	0	0.6	0.6	3.80	3.80	25.80	15.80
12	0	1	0	1	3.80	4.80	25.80	15.80
13	0	0	0.6	0.6	4.40	5.40	25.80	15.80
14	1	1	0.2	0.2	4.60	5.60	25.80	15.80
15	1	1	0.2	0.2	4.80	5.80	25.80	15.80
16	0	0	0.6	0.6	5.40	6.40	25.80	15.80
17	0	1	0	1	5.40	7.40	25.80	15.80
18	0	0	0.6	0.6	6.00	8.00	25.80	15.80
19	1	1	0.2	0.2	6.20	8.20	25.80	15.80
20	1	1	0.2	0.2	6.40	8.40	25.80	15.80
21	0	0	0.6	0.6	7.00	9.00	25.80	15.80
22	0	0	0.6	0.6	7.60	9.60	25.80	15.80
23	1	0	1	0	8.60	9.60	25.80	15.80
24	1	0	1	0	9.60	9.60	25.80	15.80
25	0	0	0.6	0.6	10.20	10.20	25.80	15.80
26	1	0	1	0	11.20	10.20	25.80	15.80
27	0	1	0	1	11.20	11.20	25.80	15.80
28	0	0	0.6	0.6	11.80	11.80	25.80	15.80
29	1	0	1	0	12.80	11.80	25.80	15.80
30	0	0	0.6	0.6	13.40	12.40	25.80	15.80
31	1	1	0.2	0.2	13.60	12.60	25.80	15.80
32	1	1	0.2	0.2	13.80	12.80	25.80	15.80
33	1	0	1	0	14.80	12.80	25.80	15.80
34	1	0	1	0	15.80	12.80	25.80	15.80
35	1	0	1	0	16.80	12.80	25.80	15.80
36	0	0	0.6	0.6	17.40	13.40	25.80	15.80
37	1	1	0.2	0.2	17.60	13.60	25.80	15.80
38	1	1	0.2	0.2	17.80	13.80	25.80	15.80
39	1	0	1	0	18.80	13.80	25.80	15.80
40	1	0	1	0	19.80	13.80	25.80	15.80
41	1	0	1	0	20.80	13.80	25.80	15.80
42	1	0	1	0	21.80	13.80	25.80	15.80
43	1	0	1	0	22.80	13.80	25.80	15.80
44	1	0	1	0	23.80	13.80	25.80	15.80
45	0	0	0.6	0.6	24.40	14.40	25.80	15.80
46	1	1	0.2	0.2	24.60	14.60	25.80	15.80
47	1	1	0.2	0.2	24.80	14.80	25.80	15.80
48	0	0	0.6	0.6	25.40	15.40	25.80	15.80
49	1	1	0.2	0.2	25.60	15.60	25.80	15.80
50	1	1	0.2	0.2	25.80	15.80	25.80	15.80
